d1a62a1A	0	2	3	3	138.692470	138.565991	10.096297	0	0	1	5
d1a62a1A	1	2	3	4	30.175412	30.073073	10.083547	0	0	0	0
d1a6qa1A	0	2	4	5	-41.910383	-42.358945	8.924029	0	3	0	1
d1a8da1A	0	2	3	3	-82.787972	-82.077129	9.841425	0	2	0	0
d1b67a_A	1	2	5	3	116.749560	124.838424	8.025890	0	0	0	0
d1b6aa1A	0	2	4	4	-78.124348	-78.897702	8.460149	0	0	1	2
d1cmba_A	0	1	4	3	110.540890	113.110190	9.593809	0	5	1	1
d1coja1A	1	2	9	12	-146.094552	-145.776351	8.522505	0	0	2	3
d1cuka1A	0	1	4	3	136.550065	136.021320	8.624165	0	0	0	1
d1cuka1A	0	2	6	5	-47.139986	-47.253456	7.988897	0	0	0	3
d1cuna2A	0	1	7	8	-159.596465	-151.501906	11.315453	0	2	2	4
d1cuna2A	0	2	7	10	22.232491	21.722497	10.225628	0	0	0	6
d1dp7p_P	1	2	4	4	96.383899	96.379495	11.166460	0	0	1	2
d1e3oc1C	0	2	4	5	-59.798680	-61.271425	11.115581	0	5	0	10
d1e7la1A	0	1	3	4	139.680621	139.562748	3.237054	0	1	0	2
d1e7la1A	0	2	5	6	149.530271	148.367836	9.635552	0	0	0	3
d1e7la1A	1	2	4	7	22.654968	22.654968	10.919860	0	0	0	2
d1es6a2A	1	2	4	3	-164.479310	-162.755378	9.770316	0	0	1	2
d1ez3a_A	0	1	12	10	-153.933916	-154.126529	9.126529	0	4	1	4
d1ez3a_A	0	2	15	14	8.107707	8.926163	9.932625	0	2	1	16
d1fpoa2A	0	1	6	6	-159.306336	-158.422971	7.700712	0	9	0	5
d1fpoa2A	0	2	5	6	-6.287636	-2.106379	11.636471	0	0	0	0
d1fpoa2A	1	2	10	13	-159.646367	-160.121431	9.626436	0	2	1	9
d1fs1a1A	0	2	4	3	-66.065549	-65.437747	10.632786	0	2	0	3
d1g73a_A	0	1	19	24	-160.542555	-157.690545	8.347066	0	2	2	12
d1g73a_A	0	2	13	10	18.244862	13.521889	10.418642	0	0	2	8
d1g73a_A	1	2	8	7	-160.016791	-155.926290	13.485470	0	2	0	4
d1gpja1A	0	1	9	8	148.588108	142.320489	7.888743	0	2	1	14
d1gv2a2A	1	2	4	4	108.304105	108.304105	8.145195	0	0	0	3
d1gvna_A	0	1	3	6	-153.699723	-145.602511	11.102854	0	0	1	5
d1gvna_A	0	2	10	10	22.919958	21.715419	9.171346	0	1	4	9
d1gvna_A	1	2	4	4	-162.503488	-160.603483	12.238941	0	0	0	0
d1gxqa_A	0	2	5	4	-86.083608	-83.058220	9.301581	0	2	1	0
d1h6fa_A	0	2	4	4	161.577902	163.051008	0.813402	0	0	0	3
d1hf8a1A	0	1	6	8	-151.861929	-147.894864	10.826840	0	0	0	4
d1hypa_A	1	2	5	4	126.178870	126.571808	9.895797	0	0	0	1
d1i5za1A	1	2	4	3	101.598192	104.540481	8.919796	0	0	0	4
d1iwma_A	1	2	3	3	118.107461	124.816593	5.412525	0	0	1	1
d1j0pa_A	1	2	3	4	169.530026	164.167241	4.542339	0	0	1	0
d1jb3a_A	0	2	3	3	-64.799893	-65.483413	9.720243	0	0	2	5
d1jhfa1A	0	2	3	4	-91.739868	-87.058118	9.386901	0	0	0	2
d1jmxa1A	0	2	4	4	-113.776407	-114.284381	9.547314	0	0	0	0
d1jmxa1A	1	2	5	5	135.975214	135.217313	8.108573	0	0	1	1
d1jnra1A	0	1	5	9	-170.108949	-170.413640	2.659500	0	5	0	12
