1JGSA	1	L	8.642287
1JGSA	3	L	7.920474
1JGSA	5	S	8.128873
1JGSA	7	C	11.772219
1JGSA	13	C	10.775710
1JGSA	15	C	6.429993
1U9LA	1	L	7.838004
1U9LA	3	L	9.251754
1U9LA	5	S	0.000000
1U9LA	7	S	0.000000
1U9LA	9	C	6.029216
2APLA	1	C	6.683375
2APLA	3	C	5.108139
2APLA	5	C	8.447552
2APLA	7	C	6.829874
2APLA	9	C	18.612669
2APLA	11	S	7.888881
2APLA	13	C	4.263644
1DVOA	1	C	6.636967
1DVOA	3	S	2.019600
1DVOA	9	C	8.397515
1DVOA	11	C	2.497489
1DVOA	13	S	0.000000
1DVOA	19	C	14.511388
1XSVA	1	K	40.336780
1XSVA	3	C	1.629937
1XSVA	5	S	4.566023
1XSVA	7	C	8.349394
1XSVA	9	C	6.614862
1XSVA	11	L	2.388187
1QPWA	1	C	7.124946
1QPWA	3	C	7.473704
1QPWA	5	C	8.125876
1QPWA	7	K	41.753279
1QPWA	9	C	13.165192
1QPWA	11	C	9.298231
1PN9A	3	C	10.448672
1PN9A	7	S	0.000000
1PN9A	13	C	7.378482
1PN9A	15	L	12.326821
1PN9A	17	K	31.272454
1PN9A	19	C	9.363224
1PN9A	21	C	11.313988
1PN9A	23	C	9.383466
1PN9A	25	C	2.024338
1Z6OA	1	S	3.567612
1Z6OA	3	C	14.185285
1Z6OA	5	C	11.522579
1Z6OA	7	C	5.587242
1Z6OA	9	C	7.890773
1Z6OA	11	K	20.573926
1Z6OA	13	C	8.004570
1Z6OM	1	C	9.003358
1Z6OM	3	C	9.520947
1Z6OM	5	C	4.826591
1Z6OM	7	C	4.246897
1Z6OM	9	C	10.700998
1Z6OM	11	C	11.487283
2OEBA	1	C	4.471092
2OEBA	3	K	32.673343
2OEBA	5	C	8.537830
2OEBA	7	C	4.521990
2OEBA	9	S	7.815023
2OEBA	11	C	9.632240
2ICWG	1	S	2.534355
2ICWG	3	K	38.524158
2ICWG	5	C	15.790460
2ICWG	7	C	7.396406
2ICWG	9	L	8.789788
2ICWG	11	C	9.695965
2ICWG	13	S	0.000000
2ICWG	15	C	9.651817
2ICWG	17	S	0.000000
2ICWB	9	S	4.578455
2ICWB	11	S	7.425354
2ICWB	13	S	0.000000
2ICWB	15	S	12.088757
1EXZA	1	K	28.163574
1EXZA	5	U	12.141522
1EXZA	7	C	9.938180
1EXZA	11	K	21.977791
2P0TA	1	L	8.252448
2P0TA	3	S	0.000000
2P0TA	5	L	6.048439
2P0TA	7	L	5.888453
2P0TA	9	C	9.104276
2P0TA	11	C	7.302196
2P0TA	13	C	3.739821
2P0TA	15	L	7.415026
1B06A	1	K	21.625037
1B06A	3	C	10.917761
1B06A	5	L	12.895282
1B06A	7	L	6.718732
1B06A	9	C	4.711752
1B06A	17	S	0.000000
1B06A	19	S	1.622599
1B06A	21	C	2.576270
2FM9A	1	C	4.738137
2FM9A	3	L	2.636786
2FM9A	5	C	6.718602
2FM9A	7	C	8.455743
2FM9A	9	C	5.092960
2FM9A	11	C	5.019744
2FM9A	13	C	6.377044
2FM9A	15	C	8.138356
2FM9A	17	K	22.844924
1B8DA	1	C	6.976664
1B8DA	3	K	71.026370
1B8DA	5	C	11.564749
1B8DA	7	S	0.000000
1B8DA	9	S	2.694867
1B8DA	11	C	11.128855
1B8DA	13	C	7.091881
1SFXA	1	C	5.006458
1SFXA	3	C	4.690202
1SFXA	5	S	6.287779
1SFXA	7	C	10.192228
1SFXA	13	C	6.441698
2J8WA	1	C	9.938778
2J8WA	3	C	5.836338
2J8WA	5	S	0.000000
2J8WA	7	C	7.760001
2J8WA	9	K	24.348658
1OWSB	1	C	15.960119
1OWSB	3	S	0.000000
1OWSB	5	C	16.095747
1OWSB	11	C	5.179500
1OWSB	13	S	0.000000
2G5CA	3	C	6.654211
2G5CA	7	C	7.767861
2G5CA	13	K	38.132107
2G5CA	17	C	8.083052
2G5CA	25	L	8.469686
2G5CA	29	C	16.348622
2G5CA	31	C	6.496941
2G5CA	33	C	7.654952
2G5CA	35	C	7.665964
2G5CA	37	C	9.237225
2O8PA	1	C	7.853066
2O8PA	3	C	7.086917
2O8PA	5	C	12.664009
2O8PA	7	C	4.417313
2O8PA	9	C	12.088363
2O8PA	11	C	6.081210
2O8PA	13	C	5.233427
2O8PA	15	C	11.849299
2O8PA	17	C	13.310695
1H97A	1	C	2.964060
1H97A	3	C	10.352765
1H97A	5	L	17.005844
1H97A	7	C	5.888102
1H97A	9	K	26.702880
1H97A	11	K	23.046796
1G73C	1	S	0.000000
1G73C	3	S	0.000000
1G73C	11	S	7.704799
1G73C	13	K	121.130906
1G73A	3	C	12.599924
1G73A	5	C	15.111880
1G73A	7	C	10.805523
1E29A	5	L	5.724511
1E29A	7	S	0.000000
1E29A	9	S	0.000000
1E29A	11	C	1.725900
1E29A	13	K	23.644327
2OFYA	1	C	3.010775
2OFYA	3	S	2.568065
2OFYA	5	S	4.238672
2OFYA	7	C	5.529592
2OFYA	9	S	0.000000
1E6IA	1	C	4.399490
1E6IA	3	S	0.000000
1E6IA	5	C	1.851691
1E6IA	7	C	10.214394
1E6IA	9	C	5.897295
2AUWA	7	S	0.000000
2AUWA	9	S	0.000000
2AUWA	15	C	4.321368
2AUWA	17	C	4.899536
2AUWA	19	S	8.500872
2AUWA	21	S	3.629320
2AUWA	23	C	10.306971
2AXIA	3	C	7.900725
2AXIA	6	C	8.542142
2AXIA	12	S	0.000000
2AXIA	16	C	7.033401
3D19A	1	C	14.809926
3D19A	3	C	10.579939
3D19A	5	C	11.036166
3D19A	7	C	10.316376
3D19A	9	C	13.907753
3D19A	11	C	11.464375
3D19A	13	C	17.666136
3D19A	15	C	12.096942
1T8KA	1	C	3.428707
1T8KA	3	C	6.780802
1T8KA	5	S	0.000000
1T8KA	7	C	5.601566
2EFKA	1	L	11.966297
2EFKA	3	L	11.180301
2EFKA	5	C	10.836568
2EFKA	7	C	11.000546
2EFKA	9	K	42.377645
2EFKA	11	L	8.675519
1GVNA	1	C	8.740184
1GVNA	3	C	5.993524
1GVNA	5	C	14.123303
1ETXA	1	C	6.420184
1ETXA	3	K	21.130973
1ETXA	5	S	3.801713
1ETXA	7	C	5.430466
3D24A	1	S	4.747978
3D24A	3	C	10.477789
3D24A	5	K	40.930732
3D24A	10	S	0.000000
3D24A	12	C	12.180996
3D24A	14	C	8.093284
3D24A	16	C	11.197599
3D24A	18	S	12.869753
3D24A	20	C	17.309790
3D24A	22	S	0.669865
1DPSA	1	C	12.746045
1DPSA	3	C	7.829419
1DPSA	5	S	2.393534
1DPSA	7	C	19.276707
1DPSA	9	C	7.274225
2G58A	1	C	2.713525
